항목 ID,Surface,상위 화면,화면/영역,섹션,주요 정보,주요 동작,이용 등급,표시 조건,출처 문서
ONB-01 소개,Onboarding,온보딩,소개,제품 소개,집중 지원과 개인정보 원칙,시작하기; 건너뛰기,전체,첫 실행 또는 온보딩 다시 보기,docs/INFORMATION_ARCHITECTURE.md
ONB-02 멤버십,Onboarding,온보딩,멤버십 선택,Free/Premium,혜택; 가격; 결제 연동 전 안내,Free 선택; Premium 선택,전체,온보딩 2단계,docs/INFORMATION_ARCHITECTURE.md
ONB-03 주 화면,Onboarding,온보딩,주 화면 선택,Side Panel/Popup,두 UI의 용도,선택 저장,전체,온보딩 3단계,docs/INFORMATION_ARCHITECTURE.md
ONB-04 알림,Onboarding,온보딩,알림 확인,테스트 알림,Chrome·OS 알림 상태,알림 전송; 보임/안 보임 선택,전체,온보딩 4단계,docs/INFORMATION_ARCHITECTURE.md
ONB-05 차단 방식,Onboarding,온보딩,집중 방식,기본 차단,Allowlist/Blocklist 의미,방식 선택,전체,온보딩 5단계,docs/INFORMATION_ARCHITECTURE.md
ONB-06 유휴 기준,Onboarding,온보딩,자리 비움,3/5/10분,OS 유휴 판단 기준,기준 선택,전체,온보딩 6단계,docs/INFORMATION_ARCHITECTURE.md
ONB-07 첫 일정,Onboarding,온보딩,첫 일정,Schedule Form,일정·시간·사이트,일정 저장; 나중에 만들기,전체,온보딩 7단계,docs/INFORMATION_ARCHITECTURE.md
TODAY-01 알림 센터,Side Panel; App,오늘,확인할 알림,미처리 알림,제목; 본문; 발생 시각,집중/일정 이동; 결과 선택; 확인,전체,미처리 중요 알림 존재,docs/INFORMATION_ARCHITECTURE.md
TODAY-02 현재 일정,Side Panel; App,오늘,현재 일정,진행 중 카드,일정명; 집중·휴식; 상태,집중 화면 보기,전체,활성 세션 존재,docs/INFORMATION_ARCHITECTURE.md
TODAY-03 다음 일정,Side Panel; App,오늘,다음 일정,예정 카드,시작 시각; 집중; 휴식; 차단,지금 시작; 5분 미루기,전체,활성 세션 없음,docs/INFORMATION_ARCHITECTURE.md
TODAY-04 달성률,Side Panel; App,오늘,오늘 달성률,진행률,완료/전체 일정,없음,전체,항상,docs/INFORMATION_ARCHITECTURE.md
TODAY-05 연속 학습,Side Panel; App,오늘,학습 잔디 요약,연속 학습,연속 학습 일수,Reports 확인,Premium,learning-grass entitlement,docs/INFORMATION_ARCHITECTURE.md
PLAN-01 일정 목록,Side Panel; App,계획,일정 목록,일정 카드,상태; 시간; 설명; 사이트,수정; 삭제; 집중 시작,전체,항상,docs/INFORMATION_ARCHITECTURE.md
PLAN-02 일정 Form,Side Panel; App,계획,일정 생성·수정,기본 정보,제목; 설명; 날짜; 시간; 활동,저장; 목록 복귀,전체,추가 또는 수정 선택,docs/INFORMATION_ARCHITECTURE.md
PLAN-03 사이트 정책,Side Panel; App,계획,일정 생성·수정,차단 설정,Allowlist/Blocklist/Off; hostname,preset toggle; 직접 입력,전체,선택한 차단 모드에 따라 입력 노출,docs/INFORMATION_ARCHITECTURE.md
FOCUS-01 세션 Header,Side Panel; App,집중,현재 세션,일정과 상태,일정명; 집중/휴식/일시정지,없음,전체,활성 세션 존재,docs/INFORMATION_ARCHITECTURE.md
FOCUS-02 타이머,Side Panel; App,집중,타이머,집중 또는 휴식,진행; 잔여; 목표; 누적; 초과,없음,전체,활성 세션 존재,docs/INFORMATION_ARCHITECTURE.md
FOCUS-03 세션 동작,Side Panel; App,집중,세션 동작,상태 제어,현재 FocusSession 상태,일시정지; 휴식; 재개; 완료; 미완료,전체,상태별 동작 노출,docs/INFORMATION_ARCHITECTURE.md
FOCUS-04 집중 신호,Side Panel; App,집중,집중 신호,상태 metric,차단 시도; check-in,없음,전체,활성 세션 존재,docs/INFORMATION_ARCHITECTURE.md
FOCUS-05 탭 그룹,Side Panel; App,집중,스마트 탭 그룹화,현재 창 탭,그룹별 개수; 분류 필요 탭,정리; 복원; 작업 세트 저장; 분류 교정,전체,탭 그룹화 사용,docs/INFORMATION_ARCHITECTURE.md
FOCUS-06 결과 대기,Side Panel; App,집중,집중 결과,목표 종료,기록될 집중·휴식 시간,완료; 미완료; 재확인,전체,awaiting-result,docs/INFORMATION_ARCHITECTURE.md
REPORT-01 학습 잔디,Side Panel; App,리포트,월간 학습 잔디,월 달력,날짜별 intensity와 상세,이전/다음 달; 오늘 이동,Premium,learning-grass entitlement,docs/INFORMATION_ARCHITECTURE.md
REPORT-02 일일 리포트,Side Panel; App,리포트,일일 리포트,날짜별 카드,집중; 휴식; 차단; 미룸; 유휴; 달성률,오늘 집계,전체,리포트 존재,docs/INFORMATION_ARCHITECTURE.md
SET-01 멤버십,Side Panel; App,설정,멤버십,Free/Premium,계정; entitlement; 기기 수,로그인; 활성화; 복구; 로그아웃,전체,항상,docs/INFORMATION_ARCHITECTURE.md
SET-02 Cloud 초기화,Side Panel; App,설정,클라우드 동기화,최초 연결,로컬·cloud 기록 상태,이 기기 백업; 복원 preview,Premium,cloud 미초기화,docs/INFORMATION_ARCHITECTURE.md
SET-03 Cloud 동기화,Side Panel; App,설정,클라우드 동기화,동기화 상태,마지막 sync; pending; offline,지금 동기화; 복원,Premium,cloud 초기화 완료,docs/INFORMATION_ARCHITECTURE.md
SET-04 Cloud 충돌,Side Panel; App,설정,클라우드 동기화,충돌,entity type; entity ID,이 기기 버전; cloud 버전,Premium,충돌 존재,docs/INFORMATION_ARCHITECTURE.md
SET-05 알림과 활동,Side Panel; App,설정,알림과 활동,집중 감지 설정,알림; heartbeat; 리포트,toggle; 알림 테스트,전체,항상,docs/INFORMATION_ARCHITECTURE.md
SET-06 탭 설정,Side Panel; App,설정,스마트 탭 그룹화,그룹 정책,시작·재개·새 탭·기존 그룹·고정 탭·복원,toggle; 복원 정책 선택,전체,항상,docs/INFORMATION_ARCHITECTURE.md
SET-07 저장 데이터,Side Panel; App,설정,저장 데이터,로컬 데이터,내보내기 의미와 삭제 경고,JSON 내보내기; 전체 초기화,전체,항상,docs/INFORMATION_ARCHITECTURE.md
HELP-01 사용 방법,Side Panel; App,도움말,도움말 문서,FAQ,일정; 차단; 집중; 리포트; 개인정보,항목 펼치기,전체,항상,docs/INFORMATION_ARCHITECTURE.md
AI-01 시작,Side Panel,화면 AI 도구,영역 선택,기능 시작,선택 범위와 개인정보 안내,화면 영역 가져오기,Premium,screen-ocr entitlement,docs/INFORMATION_ARCHITECTURE.md
AI-02 Preview,Side Panel,화면 AI 도구,전송 확인,이미지 preview,크기; 용량; 민감정보 경고; 결과 방식,동의; OCR 실행; 다시 선택,Premium,화면 선택 완료,docs/INFORMATION_ARCHITECTURE.md
AI-03 OCR 검토,Side Panel,화면 AI 도구,OCR 원문,Block editor,block ID; 유형; 인식 텍스트,원문 수정; AI 실행,Premium,OCR 완료,docs/INFORMATION_ARCHITECTURE.md
AI-04 교정 결과,Side Panel,화면 AI 도구,문법 교정,교정·윤문·diff,교정문; 변경점; 이유,복사; 입력창 적용; 다시 교정,Premium,grammar-correction entitlement,docs/INFORMATION_ARCHITECTURE.md
AI-05 요약 결과,Side Panel,화면 AI 도구,핵심 요약·학습 정리,근거 기반 결과,핵심; section; 근거 ID; 확인 필요,원문 이동; 복사; 다시 실행,Premium,content-summary entitlement,docs/INFORMATION_ARCHITECTURE.md
POPUP-01 현재 세션,Popup,Popup,빠른 집중 제어,현재 세션,타이머; 집중·휴식; 차단 상태,일시정지; 휴식; 재개; 탭 정리; 종료,전체,활성 세션 존재,docs/INFORMATION_ARCHITECTURE.md
POPUP-02 다음 일정,Popup,Popup,빠른 집중 제어,다음 일정,시작; 집중; 휴식,집중 시작; 5분 미루기,전체,활성 세션 없음,docs/INFORMATION_ARCHITECTURE.md
POPUP-03 이동,Popup,Popup,하단 동작,Surface 이동,현재 window 준비 상태,Side Panel 열기; 전체 화면,전체,항상,docs/INFORMATION_ARCHITECTURE.md
BLOCK-01 차단 상태,Blocked,차단 페이지,차단 정보,접근 차단,hostname; 이유; 일정; 남은 시간; 허용 사이트,집중 화면으로 돌아가기,전체,DNR redirect,docs/INFORMATION_ARCHITECTURE.md
