요구사항 ID,대분류,요구사항,구현 상태,이용 등급,관련 화면,외부 검증 필요,범위,관련 파일,출처 문서
ONB-01,온보딩,소개 → 멤버십 → 주 화면 → 알림 → 차단 방식 → 유휴 기준 → 첫 일정 → 완료의 8단계를 제공한다.,구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
ONB-02,온보딩,"모든 단계에서 건너뛰기를 제공하고 건너뛰면 Free, Side Panel 기본값을 사용한다.",구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
ONB-03,온보딩,Premium을 선택하기 전에는 로그인 창이나 외부 요청을 시작하지 않는다.,구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
ONB-04,온보딩,Side Panel과 Popup 중 주 UI를 저장하고 설정에서 변경할 수 있다.,구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
ONB-05,온보딩,테스트 알림은 클릭할 때마다 고유 ID로 새 알림 생성을 시도한다.,구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
ONB-06,온보딩,"첫 일정은 생략할 수 있고, 생성 시 일반 일정 검증을 동일하게 적용한다.",구현,전체,Onboarding,아니오,현재 범위,src/features/onboarding/Onboarding.tsx,docs/FEATURE_SPECIFICATION.md
SCH-01,일정 관리,"일정명, 설명, 날짜, 시작, 목표 집중 시간, 권장 휴식, 활동 유형, 차단 모드, 도메인을 입력한다.",구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-02,일정 관리,목표 시간을 처음 입력하면 시작 시각을 현재의 약 5분 뒤로 잡고 종료 시각을 자동 계산한다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-03,일정 관리,종료 시각은 시작 + 목표 집중 시간이며 읽기 전용으로 표시한다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-04,일정 관리,목표 집중 시간과 권장 휴식은 빈 값으로 시작하고 빈 값 또는 0으로 저장할 수 없다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-05,일정 관리,"같은 날짜의 겹치는 일정, 과거 시작 시각, 잘못된 도메인을 폼 내부 오류로 표시한다.",구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-06,일정 관리,진행 중인 일정은 삭제할 수 없다. 삭제 전 확인을 받는다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-07,일정 관리,"예정·미룸 상태 일정은 Today, Plan, Popup에서 집중을 시작할 수 있다.",구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-08,일정 관리,5분 미루기 횟수와 시각을 저장하고 3회 이상이면 강화된 경고 대상이 된다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-09,일정 관리,Allowlist와 Blocklist 입력값은 모드 전환 시 삭제하지 않는다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
SCH-10,일정 관리,자주 쓰는 허용·방해 사이트는 클릭형 preset으로 추가·제거할 수 있다.,구현,전체,Plan; Today; Popup,아니오,현재 범위,src/features/schedules/; src/background/alarms.ts,docs/FEATURE_SPECIFICATION.md
