항목명,저장 계층,엔티티,필드,데이터 타입,Key,Cloud 동기화,보관 기간,원본 파일,모델 구분
SCHEDULE.id,Local,SCHEDULE,id,string,PK,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.title,Local,SCHEDULE,title,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.description,Local,SCHEDULE,description,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.dateKey,Local,SCHEDULE,dateKey,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.startAt,Local,SCHEDULE,startAt,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.endAt,Local,SCHEDULE,endAt,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.targetFocusMinutes,Local,SCHEDULE,targetFocusMinutes,number,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.breakMinutes,Local,SCHEDULE,breakMinutes,number,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.activityMode,Local,SCHEDULE,activityMode,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.blockingMode,Local,SCHEDULE,blockingMode,string,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.allowedDomains,Local,SCHEDULE,allowedDomains,json,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
SCHEDULE.blockedDomains,Local,SCHEDULE,blockedDomains,json,,Premium 동기화 대상,로컬 유지,src/shared/types/models.ts,Chrome Storage 논리 모델
